ID,ID
Apply,Aplicar
No,Não
Subtotal,Subtotal
Discount,Desconto
Uses,Usos
Delete,Deletar
Yes,Sim
"Website","Website"
Status,Status
Rule,Regra
"Start on","Começa com"
"End on","Termina com"
Active,Ativo
"This rule no longer exists.","Essa regra não existe."
Websites,Websites
"Add New Rule","Novo"
"Edit Rule '%1'","Editar Regra '%1'"
"New Rule","Nova Regra"
"Rule Information","Informações da Regra"
"Stop Further Rules Processing","Stop Further Rules Processing"
"Rule Name","Nome da Regra"
Inactive,Inativo
"From Date","Da data"
"To Date","Até a data"
"Priority","Prioridade"
"Edit Rule","Editar Regra"
"The rule has been saved.","A regra foi salva."
"An error occurred while saving the rule data. Please review the log and try again.","Um erro ocorreu ao salvar as regras. Veja os logs e tente novamente."
"The rule has been deleted.","A regra foi removida"
"An error occurred while deleting the rule. Please review the log and try again.","Um erro ocorreu ao remover a regra. Veja os logs e tente novamente"
"Update the Product","Update the Product"
"To Fixed Value","To Fixed Value"
"To Percentage","To Percentage"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"Update product's %1 %2: %3","Atualizar produtos %1 %2: %3"
"Conditions Combination","Combinação de condições"
"Product Attribute","Atributo do Produto"
"Shipping Method","Método de envio"
Alphanumeric,Alfanumérico
"Apply To","Apply To"
"equals or greater than","Igual ou maior que"
"equals or less than","Igual ou menor que"
"greater than","Maior que"
"less than","Menor que"
Alphabetical,Alphabetical
Numeric,Numérico
Generate,Gerar
Auto,Auto
Coupon,Cupom
"Shopping Cart Price Rule","Regra de preco do carrinho"
"Coupon Code","Codigo do cupom"
CSV,CSV
"Excel XML","Excel XML"
"Total Weight","Peso Total"
"Discount (%1)","Desconto (%1)"
"Store View Specific Labels","Título específico para loja"
"Shopping Cart Price Rules","Regras de Carrinho"
"Update prices using the following information","Atualizar preços usando a seguinte informação"
"Percent of product price discount","Desconto sobre percentual do preço do produto"
"Fixed amount discount","Desconto fixo"
"Fixed amount discount for whole cart","Desconto fixo para todo o carrinho"
"Buy X get Y free (discount amount is Y)","Compre X ganhe Y grátis (Desconto no valor de Y)"
"Maximum Qty Discount is Applied To","Quantidade máxima de desconto aplicado"
"Discount Qty Step (Buy X)","Desconto de X"
"Apply to Shipping Amount","Aplicar ao valor do frete"
"Apply the rule only to cart items matching the following conditions ' '(leave blank for all items).","Aplicar a regra aos itens do carrinho que correspondem as seguintes condições ' '(Deixe em branco para todos os items)."
