Always,Sempre
"After number of attempts to login","After number of attempts to login"
"Incorrect CAPTCHA","CAPTCHA Incorreto"
"Incorrect CAPTCHA.","CAPTCHA Incorreto."
"Please enter the letters from the image:","Please enter the letters from the image:"
"Reload captcha","Recarregar captcha"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Atenção</strong>: Captcha diferencia letras maiusculas e minusculas."
"Please type the letters below","Please type the letters below"
CAPTCHA,CAPTCHA
"Enable CAPTCHA in Admin","Habilitar CAPTCHA em Admin"
Font,Font
Forms,Formulários
"Displaying Mode","Displaying Mode"
"Number of Unsuccessful Attempts to Login","Number of Unsuccessful Attempts to Login"
"If 0 is specified, CAPTCHA on the Login form will be always available.","If 0 is specified, CAPTCHA on the Login form will be always available."
"CAPTCHA Timeout (minutes)","CAPTCHA Timeout (minutes)"
"Number of Symbols","Number of Symbols"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Please specify 8 symbols at the most. Range allowed (e.g. 3-5)"
"Symbols Used in CAPTCHA","Symbolos Usados em CAPTCHA"
"
                        Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.
                    ","
                        Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.
                    "
"Case Sensitive","Case Sensitive"
"Enable CAPTCHA on Frontend","Habilitar CAPTCHA no Frontend"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen."
"Enable CAPTCHA on Storefront","Habilitar CAPTCHA no Storefront"
